Name,Price,Rooms,M2,Parking,Link,Fuente
"Piso en Barri de Mar, Vilanova i la Geltrú",330.000€,2 hab.,62 m²,No,https://www.idealista.com/inmueble/100635150/,idealista
"Chalet adosado en ordi, Centre Vila - La Geltrú, Vilanova i la Geltrú",418.000€,4 hab.,300 m²,Si,https://www.idealista.com/inmueble/100560145/,idealista
"Ático en paseo Marítim, Barri de Mar, Vilanova i la Geltrú",220.000€,3 hab.,75 m²,No,https://www.idealista.com/inmueble/99905623/,idealista
"Chalet en Centre Vila - La Geltrú, Vilanova i la Geltrú",480.000€,4 hab.,191 m²,Si,https://www.idealista.com/inmueble/99860854/,idealista
"Chalet en Barri de Mar, Vilanova i la Geltrú",590.000€,4 hab.,197 m²,Si,https://www.idealista.com/inmueble/99200623/,idealista
"Chalet en L'Aragai - Prat de Vilanova, Vilanova i la Geltrú",970.000€,5 hab.,496 m²,Si,https://www.idealista.com/inmueble/96459196/,idealista
"Chalet en L'Aragai - Prat de Vilanova, Vilanova i la Geltrú",970.000€,6 hab.,450 m²,Si,https://www.idealista.com/inmueble/98743791/,idealista
"Piso en Ribes Roges, Vilanova i la Geltrú",398.000€,3 hab.,99 m²,Si,https://www.idealista.com/inmueble/100514254/,idealista
"Piso en Barri de Mar, Vilanova i la Geltrú",287.000€,3 hab.,104 m²,No,https://www.idealista.com/inmueble/99096688/,idealista
"Chalet adosado en Fondo Somella - Santa Maria, Vilanova i la Geltrú",410.000€,4 hab.,192 m²,No,https://www.idealista.com/inmueble/100070589/,idealista
"Chalet en La Collada - Sis Camins, Vilanova i la Geltrú",530.000€,5 hab.,256 m²,Si,https://www.idealista.com/inmueble/99571569/,idealista
"Piso en rambla de la Pau, Barri de Mar, Vilanova i la Geltrú",222.000€,2 hab.,76 m²,No,https://www.idealista.com/inmueble/100630621/,idealista
"Piso en paseo marítimo, 92, Barri de Mar, Vilanova i la Geltrú",365.000€,2 hab.,86 m²,No,https://www.idealista.com/inmueble/100617025/,idealista
"Piso en calle Tarragona, Centre Vila - La Geltrú, Vilanova i la Geltrú",290.000€,3 hab.,117 m²,Si,https://www.idealista.com/inmueble/99108357/,idealista
"Piso en Centre Vila - La Geltrú, Vilanova i la Geltrú",205.000€,3 hab.,79 m²,No,https://www.idealista.com/inmueble/100892688/,idealista
"Piso en Centre Vila - La Geltrú, Vilanova i la Geltrú",172.000€,2 hab.,62 m²,No,https://www.idealista.com/inmueble/100892162/,idealista
"Piso en Centre Vila - La Geltrú, Vilanova i la Geltrú",207.000€,3 hab.,75 m²,Si,https://www.idealista.com/inmueble/95744127/,idealista
"Piso en eduard toldra, Les Casernes - Sant Jordi, Vilanova i la Geltrú",85.000€,2 hab.,48 m²,No,https://www.idealista.com/inmueble/100999340/,idealista
