parking,rooms,info_card_type,bathrooms,balcony,title,floor,terrace,link,price,elevator,surface,heating,swimming_pool,air_conditioner
,1 hab.,re-CardPackPremium-info,1 baño,,"Piso en venta en Del Llimonet, 19, Centre Vila",2ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/zona-comunitaria-ascensor/177446672/d?from=list,186.455 €,Ascensor,42 m²,,,
,4 habs.,re-CardPackPremium-info,3 baños,Balcón,Casa adosada en venta en La Collada - Sis Camins,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-parking-terraza-trastero/176415575/d?from=list,345.000 €,,200 m²,Calefacción,,Aire acondicionado
,3 habs.,re-CardPackPremium-info,3 baños,Balcón,Casa o chalet en venta en Fondo Somella,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/parking-terraza-trastero-piscina-se-aceptan-mascotas/164535357/d?from=list,532.500 €,,175 m²,,Piscina,
,4 habs.,re-CardPackPremium-info,2 baños,,"Piso en venta en De la Torre del Vallès, 78, La Collada - Sis Camins",Bajos,,/es/comprar/vivienda/vilanova-i-la-geltru/zona-comunitaria-ascensor/177446617/d?from=list,379.343 €,Ascensor,114 m²,,,
,8 habs.,re-CardPackPremium-info,5 baños,Balcón,Casa o chalet en venta en Barri del Mar,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-parking-terraza-piscina/177217094/d?from=list,3.700.000 €,,952 m²,Calefacción,Piscina,
,2 habs.,re-CardPackAdvance-info,1 baño,,Ático en venta en Centre Vila,2ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/terraza/176959951/d?from=list,179.900 €,,80 m²,,,
,3 habs.,re-CardPackAdvance-info,3 baños,,Piso en venta en Centre Vila,3ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-terraza/165239258/d?from=list,249.000 €,,152 m²,,,
,2 habs.,re-CardPackAdvance-info,2 baños,,"Piso en venta en Calle de la Boia, 7, Barri del Mar",4ª Planta,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19808949/161880060?from=list,273.000 €,,68 m²,,,
,2 habs.,re-CardPackAdvance-info,1 baño,,"Piso en venta en Calle de L'any Dels Negats, 9, Barri del Mar",5ª Planta,,/es/comprar/vivienda/obra-nueva/vilanova-i-la-geltru/19875208/164351141?from=list,240.000 €,,58 m²,,,
,4 habs.,re-CardPackAdvance-info,3 baños,,"Dúplex en venta en Cubelles, Centre Vila",4ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-terraza-trastero-ascensor-parking/176898316/d?from=list,380.000 €,,118 m²,,,
